Genetic Feature,Recurrent Gain Loss,Genes in Segment
PIK3CB_mut,,PIK3CB
PIK3R1_mut,,PIK3R1
PLCB1_mut,,PLCB1
PLCG1_mut,,PLCG1
PLXNA1_mut,,PLXNA1
PLXNB2_mut,,PLXNB2
PML.RARA_mut,,PML.RARA
POLR2B_mut,,POLR2B
PPP2R1A_mut,,PPP2R1A
PSIP1_mut,,PSIP1
PTCH1_mut,,PTCH1
PTEN_mut,,PTEN
PTPN11_mut,,PTPN11
PTPRU_mut,,PTPRU
RAC1_mut,,RAC1
RAD21_mut,,RAD21
RASA1_mut,,RASA1
RASA2_mut,,RASA2
RB1_mut,,RB1
RBM10_mut,,RBM10
RBM5_mut,,RBM5
RGS3_mut,,RGS3
RHOA_mut,,RHOA
RHOT1_mut,,RHOT1
RNF43_mut,,RNF43
ROBO2_mut,,ROBO2
RPGR_mut,,RPGR
RPL5_mut,,RPL5
RTN4_mut,,RTN4
RUNX1_mut,,RUNX1
RUNX1.RUNX1T1_mut,,RUNX1.RUNX1T1
SACS_mut,,SACS
SCAI_mut,,SCAI
SEC31A_mut,,SEC31A
SETD2_mut,,SETD2
SETDB1_mut,,SETDB1
SF3B1_mut,,SF3B1
SIN3A_mut,,SIN3A
SMAD2_mut,,SMAD2
SMAD4_mut,,SMAD4
SMARCA1_mut,,SMARCA1
SMARCA4_mut,,SMARCA4
SMARCB1_mut,,SMARCB1
SMC1A_mut,,SMC1A
SOS1_mut,,SOS1
SOS2_mut,,SOS2
SOX9_mut,,SOX9
SPOP_mut,,SPOP
SPTAN1_mut,,SPTAN1
SRGAP1_mut,,SRGAP1
SRGAP3_mut,,SRGAP3
STAG1_mut,,STAG1
STAG2_mut,,STAG2
STIP1_mut,,STIP1
STK11_mut,,STK11
STK4_mut,,STK4
SVEP1_mut,,SVEP1
TAF1_mut,,TAF1
TAOK1_mut,,TAOK1
TBL1XR1_mut,,TBL1XR1
TBX3_mut,,TBX3
TCF12_mut,,TCF12
TCF3.PBX1_mut,,TCF3.PBX1
TCF4_mut,,TCF4
TCF7L2_mut,,TCF7L2
TET2_mut,,TET2
TGFBR2_mut,,TGFBR2
THRAP3_mut,,THRAP3
TJP1_mut,,TJP1
TJP2_mut,,TJP2
TMPRSS2.ERG_mut,,TMPRSS2.ERG
TNPO1_mut,,TNPO1
TP53_mut,,TP53
TP53BP1_mut,,TP53BP1
TRIO_mut,,TRIO
TSC1_mut,,TSC1
U2AF1_mut,,U2AF1
UPF3B_mut,,UPF3B
USP6_mut,,USP6
VHL_mut,,VHL
WHSC1_mut,,WHSC1
WHSC1L1_mut,,WHSC1L1
WNK1_mut,,WNK1
WT1_mut,,WT1
XPO1_mut,,XPO1
XRN1_mut,,XRN1
ZC3H11A_mut,,ZC3H11A
ZFHX3_mut,,ZFHX3
ZFP36L1_mut,,ZFP36L1
ZFP36L2_mut,,ZFP36L2
ZMYM2_mut,,ZMYM2
ZNF292_mut,,ZNF292
ZNF638_mut,,ZNF638
ZNRF3_mut,,ZNRF3
ABCB1_mut,,ABCB1
ABL2_mut,,ABL2
ACACA_mut,,ACACA
ACVR1B_mut,,ACVR1B
ACVR2A_mut,,ACVR2A
ADCY1_mut,,ADCY1
AFF4_mut,,AFF4
AHCTF1_mut,,AHCTF1
AHNAK_mut,,AHNAK
